case_type,center,mean_distance_px,n_wins,win_probability
baseline,CoM,663.4010582401587,355,1.0
baseline,BBC,663.4010582401587,0,0.0
baseline,CHC,663.4010582401587,0,0.0
baseline,ICC,663.4010582401587,0,0.0
allfar,CoM,758.5340707904518,131,0.37110481586402266
allfar,BBC,787.992402938784,37,0.1048158640226629
allfar,CHC,755.6767306942602,79,0.2237960339943343
allfar,ICC,886.8597787385894,106,0.3002832861189802
pair,CoM,700.7790120626048,402,0.37960339943342775
pair,BBC,714.8663174758522,149,0.14069877242681775
pair,CHC,712.2127182854571,160,0.1510859301227573
pair,ICC,709.6257577678306,348,0.3286118980169972
isolated,CoM,691.8620294796539,412,0.28993666432090076
isolated,BBC,707.0841686109515,231,0.1625615763546798
isolated,CHC,700.7462232256906,308,0.21674876847290642
isolated,ICC,705.8424034955997,470,0.330752990851513
