duration,end_time,eye,participant_id,polygon_case,polygon_id,pupil,start_time,trial_type,trial_uid,x,y
203.0,3607067.0,R,P03,iso_chc,iso_chc_02,1006.0,3606865.0,image,A_MB09_T313,2093.0,1343.0
387.0,3614121.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_01,748.0,3613735.0,image,A_MB09_T314,1681.0,1119.0
1337.0,3621681.0,R,P03,iso_bbc,iso_bbc_03,728.0,3620345.0,image,A_MB09_T315,1520.0,718.0
107.0,3627036.0,R,P03,iso_chc,iso_chc_03,870.0,3626930.0,image,A_MB09_T316,1847.0,1005.0
197.0,3634885.0,R,P03,iso_com,iso_com_01,1024.0,3634689.0,image,A_MB09_T317,2028.0,1174.0
346.0,3640289.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_03,1076.0,3639944.0,image,A_MB09_T318,1925.0,1237.0
671.0,3646825.0,R,P03,baseline_asymmetric,baseline_asym_01,642.0,3646155.0,image,A_MB09_T319,1916.0,1135.0
578.0,3653175.0,R,P03,pair_C3_icc_vs_chc_bbc,pair_C3_03,698.0,3652598.0,image,A_MB09_T320,1568.0,1371.0
221.0,3659254.0,R,P03,iso_icc,iso_icc_02,613.0,3659034.0,image,A_MB09_T321,1965.0,1383.0
268.0,3665922.0,R,P03,iso_bbc,iso_bbc_03,588.0,3665655.0,image,A_MB09_T322,1626.0,526.0
294.0,3672440.0,R,P03,allfar_convex,allfar_convex_01,709.0,3672147.0,image,A_MB09_T323,1616.0,951.0
85.0,3680489.0,R,P03,baseline_rectangle,baseline_rect_01,888.0,3680405.0,image,A_MB09_T324,1739.0,980.0
234.0,3690718.0,R,P03,baseline_symmetric,baseline_sym_01,987.0,3690485.0,image,A_MB09_T325,2042.0,791.0
195.0,3697351.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_03,936.0,3697157.0,image,A_MB09_T326,1751.0,1079.0
102.0,3703623.0,R,P03,iso_com,iso_com_03,657.0,3703522.0,image,A_MB09_T327,2014.0,1065.0
170.0,3710094.0,R,P03,allfar_convex,allfar_convex_01,651.0,3709925.0,image,A_MB09_T328,2088.0,1302.0
83.0,3716275.0,R,P03,baseline_rectangle,baseline_rect_01,413.0,3716193.0,image,A_MB09_T329,1976.0,1424.0
662.0,3723231.0,R,P03,allfar_convex,allfar_convex_01,732.0,3722570.0,image,A_MB09_T330,1954.0,1246.0
684.0,3728950.0,R,P03,iso_bbc,iso_bbc_02,733.0,3728267.0,empty,A_MB09_T331,1385.0,922.0
670.0,3735090.0,R,P03,pair_C3_icc_vs_chc_bbc,pair_C3_02,779.0,3734421.0,image,A_MB09_T332,2005.0,1068.0
248.0,3746074.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_01,764.0,3745827.0,empty,A_MB09_T334,1898.0,908.0
3890.0,3756525.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_02,887.0,3752636.0,image,A_MB09_T335,1907.0,988.0
505.0,3759767.0,R,P03,allfar_convex,allfar_convex_01,875.0,3759263.0,image,A_MB09_T336,1885.0,1055.0
255.0,3766319.0,R,P03,iso_chc,iso_chc_01,753.0,3766065.0,image,A_MB09_T337,1676.0,1068.0
94.0,3772559.0,R,P03,iso_com,iso_com_01,843.0,3772466.0,image,A_MB09_T338,2108.0,1492.0
155.0,3778311.0,R,P03,iso_icc,iso_icc_03,572.0,3778157.0,image,A_MB09_T339,1560.0,519.0
1195.0,3785641.0,R,P03,iso_chc,iso_chc_01,643.0,3784447.0,image,A_MB09_T340,2199.0,877.0
186.0,3791445.0,R,P03,iso_chc,iso_chc_01,590.0,3791260.0,image,A_MB09_T341,2021.0,1006.0
677.0,3798364.0,R,P03,iso_chc,iso_chc_01,575.0,3797688.0,image,A_MB09_T342,1876.0,1236.0
175.0,3807777.0,R,P03,pair_C3_icc_vs_chc_bbc,pair_C3_03,735.0,3807603.0,image,A_MB09_T343,1569.0,1223.0
235.0,3814312.0,R,P03,iso_chc,iso_chc_03,1070.0,3814078.0,image,A_MB09_T344,2041.0,928.0
403.0,3819938.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_01,1035.0,3819536.0,empty,A_MB09_T345,1881.0,1045.0
354.0,3825875.0,R,P03,pair_C3_icc_vs_chc_bbc,pair_C3_02,695.0,3825522.0,image,A_MB09_T346,2117.0,1164.0
66.0,3831589.0,R,P03,pair_C3_icc_vs_chc_bbc,pair_C3_03,884.0,3831524.0,image,A_MB09_T347,1605.0,1216.0
177.0,3839481.0,R,P03,baseline_symmetric,baseline_sym_01,847.0,3839305.0,image,A_MB09_T348,1876.0,1179.0
250.0,3845761.0,R,P03,allfar_concave,allfar_concave_01,714.0,3845512.0,image,A_MB09_T349,2373.0,627.0
347.0,3853323.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_01,580.0,3852977.0,image,A_MB09_T350,2016.0,877.0
387.0,3859972.0,R,P03,iso_chc,iso_chc_01,751.0,3859586.0,image,A_MB09_T351,1974.0,1057.0
1072.0,287332.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_03,889.0,286261.0,image,A_MB01_T001,1976.0,1250.0
161.0,294309.0,R,P03,pair_C2_chc_vs_bbc_icc,pair_C2_01,1159.0,294149.0,image,A_MB01_T002,1948.0,1104.0
430.0,300988.0,R,P03,baseline_rectangle,baseline_rect_01,666.0,300559.0,image,A_MB01_T003,2221.0,1338.0
151.0,306987.0,R,P03,iso_icc,iso_icc_01,829.0,306837.0,image,A_MB01_T004,1707.0,1112.0
433.0,313995.0,R,P03,allfar_convex,allfar_convex_01,877.0,313563.0,image,A_MB01_T005,2263.0,1630.0
288.0,320538.0,R,P03,allfar_intermediate,allfar_intermediate_01,848.0,320251.0,image,A_MB01_T006,1599.0,692.0
438.0,327597.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_03,745.0,327160.0,image,A_MB01_T007,2023.0,948.0
288.0,334777.0,R,P03,iso_icc,iso_icc_01,963.0,334490.0,image,A_MB01_T008,1520.0,1012.0
307.0,341539.0,R,P03,baseline_asymmetric,baseline_asym_01,743.0,341233.0,image,A_MB01_T009,1470.0,1336.0
373.0,346913.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_02,836.0,346541.0,empty,A_MB01_T010,1834.0,860.0
244.0,353690.0,R,P03,iso_bbc,iso_bbc_02,1085.0,353447.0,image,A_MB01_T011,1526.0,824.0
222.0,363904.0,R,P03,pair_C1_bbc_vs_chc_icc,pair_C1_02,981.0,363683.0,image,A_MB01_T012,1973.0,973.0
215.0,370381.0,R,P03,iso_icc,iso_icc_03,883.0,370167.0,image,A_MB01_T013,2171.0,1136.0
273.0,376916.0,R,P03,iso_bbc,iso_bbc_01,922.0,376644.0,image,A_MB01_T014,1338.0,1116.0
239.0,383295.0,R,P03,allfar_concave,allfar_concave_01,879.0,383057.0,image,A_MB01_T015,1187.0,858.0
