is_old,mini_block,part,probe_duration_s,probe_image_id,probe_image_path
False,1,A,3.0,A_MEM_Sketch_085,data/raw/stimuli/CAT2000/Sketch/085.jpg
True,2,A,3.0,A_Fractal_127,data/raw/stimuli/CAT2000/Fractal/127.jpg
True,3,A,3.0,A_Satelite_069,data/raw/stimuli/CAT2000/Satelite/069.jpg
True,4,A,3.0,A_Satelite_023,data/raw/stimuli/CAT2000/Satelite/023.jpg
True,5,A,3.0,A_Satelite_113,data/raw/stimuli/CAT2000/Satelite/113.jpg
False,6,A,3.0,A_MEM_Sketch_031,data/raw/stimuli/CAT2000/Sketch/031.jpg
False,7,A,3.0,A_MEM_Satelite_165,data/raw/stimuli/CAT2000/Satelite/165.jpg
False,8,A,3.0,A_MEM_OutdoorNatural_031,data/raw/stimuli/CAT2000/OutdoorNatural/031.jpg
True,9,A,3.0,A_OutdoorNatural_067,data/raw/stimuli/CAT2000/OutdoorNatural/067.jpg
False,1,B,3.0,B_MEM_Random_039,data/raw/stimuli/CAT2000/Random/039.jpg
False,2,B,3.0,B_MEM_Object_151,data/raw/stimuli/CAT2000/Object/151.jpg
True,3,B,3.0,B_Fractal_083,data/raw/stimuli/CAT2000/Fractal/083.jpg
True,4,B,3.0,B_Object_125,data/raw/stimuli/CAT2000/Object/125.jpg
True,5,B,3.0,B_OutdoorNatural_111,data/raw/stimuli/CAT2000/OutdoorNatural/111.jpg
False,6,B,3.0,B_MEM_Satelite_191,data/raw/stimuli/CAT2000/Satelite/191.jpg
True,7,B,3.0,B_Sketch_169,data/raw/stimuli/CAT2000/Sketch/169.jpg
False,8,B,3.0,B_MEM_OutdoorNatural_171,data/raw/stimuli/CAT2000/OutdoorNatural/171.jpg
True,9,B,3.0,B_Object_011,data/raw/stimuli/CAT2000/Object/011.jpg
