** CONVERTED FROM data\raw\participant_P00\part_A\session_20260117_190051\edf\P00A.edf using edfapi 4.2.1.0 Windows   standalone Jun 19 2021 on Sat Jan 17 19:59:36 2026
** DATE: Sat Jan 17 19:34:11 2026
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.50 Jun 16 2022 (EyeLink 1000 Plus)
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BCF35
** CAMERA_CONFIG: BCF35200.SCD
** Participant: P00
** Part: A
** Experiment: center_bias_exp
**

MSG	2266061 DISPLAY_COORDS 0 0 3839 2159
INPUT	2271299	127
MSG	2271331 SESSION_START participant=P00 part=A
MSG	2271833 BLOCK_1_CALIBRATION_START
MSG	2271833 CALIB_START 11.067
INPUT	2299115	127
MSG	2305456 !CAL VALIDATION R ABORTED
INPUT	2307535	127
MSG	2335901 !CAL VALIDATION HV13 R RIGHT POOR ERROR 2.04 avg. 8.69 max  OFFSET 2.00 deg. -25.8,-210.2 pix.
MSG	2335901 VALIDATE R 4POINT 0 RIGHT  at 1920,1080  OFFSET 1.34 deg.  19.3,-141.1 pix.
MSG	2335901 VALIDATE R 4POINT 1 RIGHT  at 1920,184  OFFSET 1.89 deg.  -43.9,-195.5 pix.
MSG	2335901 VALIDATE R 4POINT 2 RIGHT  at 1920,1975  OFFSET 1.53 deg.  -9.3,-162.1 pix.
MSG	2335901 VALIDATE R 4POINT 3 RIGHT  at 230,1080  OFFSET 1.59 deg.  27.4,-166.2 pix.
MSG	2335901 VALIDATE R 4POINT 4 RIGHT  at 3609,1080  OFFSET 1.78 deg.  -72.8,-173.3 pix.
MSG	2335901 VALIDATE R 4POINT 5 RIGHT  at 433,291  OFFSET 1.49 deg.  -32.3,-155.0 pix.
MSG	2335901 VALIDATE R 4POINT 6 RIGHT  at 3406,291  OFFSET 8.69 deg.  -215.6,-894.1 pix.
MSG	2335901 VALIDATE R 4POINT 7 RIGHT  at 433,1868  OFFSET 1.42 deg.  -58.6,-138.1 pix.
MSG	2335901 VALIDATE R 4POINT 8 RIGHT  at 3406,1868  OFFSET 1.63 deg.  -63.3,-160.2 pix.
MSG	2335901 VALIDATE R 4POINT 9 RIGHT  at 1075,632  OFFSET 0.86 deg.  7.5,-90.6 pix.
MSG	2335901 VALIDATE R 4POINT 10 RIGHT  at 2764,632  OFFSET 1.48 deg.  -52.2,-147.5 pix.
MSG	2335901 VALIDATE R 4POINT 11 RIGHT  at 1075,1527  OFFSET 1.22 deg.  -15.1,-128.5 pix.
MSG	2335901 VALIDATE R 4POINT 12 RIGHT  at 2764,1527  OFFSET 1.43 deg.  -4.9,-151.4 pix.
INPUT	2347810	127
MSG	2347835 CALIB_END 87.570
MSG	2347835 BLOCK_1_CALIBRATION_COMPLETE
MSG	2347840 RECCFG CR 1000 2 1 R
MSG	2347840 ELCLCFG MTABLER
MSG	2347840 GAZE_COORDS 0.00 0.00 3839.00 2159.00
MSG	2347840 THRESHOLDS R 83 225
MSG	2347840 ELCL_WINDOW_SIZES 176 188 0 0
MSG	2347840 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	2347840 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2347840 ELCL_PROC CENTROID (3)
MSG	2347840 ELCL_PCR_PARAM 5 3.0
START	2347841 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
INPUT	2347841	127
MSG	2347841 !MODE RECORD CR 1000 2 1 R
2347841	 1755.0	  890.0	 1122.0	...
2347842	 1756.0	  890.0	 1121.0	...
2347843	 1756.0	  890.0	 1121.0	...
2347844	 1755.0	  890.0	 1121.0	...
2347845	 1755.0	  890.0	 1121.0	...
2347846	 1754.0	  890.0	 1120.0	...
2347847	 1755.0	  890.0	 1120.0	...
SFIX R   2347848
2347848	 1754.0	  890.0	 1120.0	...
2347849	 1754.0	  891.0	 1118.0	...
2347850	 1754.0	  892.0	 1116.0	...
2347851	 1754.0	  892.0	 1114.0	...
2347852	 1755.0	  892.0	 1114.0	...
2347853	 1755.0	  892.0	 1113.0	...
2347854	 1754.0	  892.0	 1114.0	...
2347855	 1753.0	  891.0	 1114.0	...
2347856	 1752.0	  891.0	 1115.0	...
2347857	 1752.0	  891.0	 1115.0	...
2347858	 1752.0	  892.0	 1114.0	...
2347859	 1752.0	  891.0	 1112.0	...
2347860	 1752.0	  891.0	 1110.0	...
2347861	 1751.0	  890.0	 1109.0	...
2347862	 1750.0	  891.0	 1110.0	...
2347863	 1749.0	  891.0	 1111.0	...
2347864	 1749.0	  890.0	 1111.0	...
2347865	 1750.0	  890.0	 1110.0	...
2347866	 1750.0	  890.0	 1110.0	...
2347867	 1750.0	  891.0	 1108.0	...
2347868	 1750.0	  892.0	 1107.0	...
2347869	 1750.0	  893.0	 1107.0	...
2347870	 1749.0	  893.0	 1107.0	...
2347871	 1749.0	  892.0	 1107.0	...
2347872	 1749.0	  891.0	 1107.0	...
2347873	 1749.0	  890.0	 1107.0	...
2347874	 1749.0	  891.0	 1106.0	...
2347875	 1748.0	  893.0	 1104.0	...
2347876	 1748.0	  895.0	 1104.0	...
2347877	 1747.0	  896.0	 1104.0	...
2347878	 1747.0	  896.0	 1103.0	...
2347879	 1747.0	  895.0	 1102.0	...
2347880	 1747.0	  895.0	 1101.0	...
2347881	 1748.0	  895.0	 1101.0	...
2347882	 1748.0	  894.0	 1101.0	...
2347883	 1748.0	  894.0	 1100.0	...
2347884	 1748.0	  894.0	 1100.0	...
2347885	 1748.0	  893.0	 1099.0	...
2347886	 1748.0	  894.0	 1099.0	...
2347887	 1747.0	  893.0	 1098.0	...
2347888	 1747.0	  893.0	 1097.0	...
2347889	 1747.0	  894.0	 1096.0	...
2347890	 1747.0	  896.0	 1096.0	...
2347891	 1747.0	  896.0	 1096.0	...
2347892	 1748.0	  895.0	 1096.0	...
2347893	 1748.0	  895.0	 1096.0	...
2347894	 1748.0	  895.0	 1095.0	...
2347895	 1748.0	  895.0	 1094.0	...
2347896	 1747.0	  895.0	 1093.0	...
2347897	 1746.0	  895.0	 1093.0	...
2347898	 1746.0	  895.0	 1091.0	...
2347899	 1747.0	  895.0	 1090.0	...
2347900	 1748.0	  896.0	 1088.0	...
2347901	 1749.0	  896.0	 1088.0	...
2347902	 1749.0	  896.0	 1087.0	...
2347903	 1747.0	  896.0	 1085.0	...
2347904	 1746.0	  895.0	 1082.0	...
2347905	 1745.0	  896.0	 1082.0	...
2347906	 1745.0	  898.0	 1082.0	...
2347907	 1746.0	  899.0	 1081.0	...
2347908	 1746.0	  900.0	 1081.0	...
