timestamp,participant_id,part,mini_block,trial_in_block,trial_uid,trial_type,polygon_id,polygon_case,polygon_json_path,image_id,image_path,category,bias_level,aperture_scale_factor,cue_pos_id,cue_x_px,cue_y_px,cue_x_deg,cue_y_deg,stimulus_duration_s,iti_s,max_drift_time_s,drift_retry_limit,aoi_radius_deg,aoi_radius_px,validation_rms_before_trial,validation_max_err_before_trial,center_screen_x_px,center_screen_y_px,center_screen_x_deg,center_screen_y_deg,center_mass_x_px,center_mass_y_px,center_mass_x_deg,center_mass_y_deg,dist_center_mass_to_screen_deg,angle_center_mass_to_screen_deg,center_hull_x_px,center_hull_y_px,center_hull_x_deg,center_hull_y_deg,dist_center_hull_to_screen_deg,angle_center_hull_to_screen_deg,center_bbc_x_px,center_bbc_y_px,center_bbc_x_deg,center_bbc_y_deg,dist_center_bbc_to_screen_deg,angle_center_bbc_to_screen_deg,center_icc_x_px,center_icc_y_px,center_icc_x_deg,center_icc_y_deg,dist_center_icc_to_screen_deg,angle_center_icc_to_screen_deg,fixation_achieved,fixation_attempts,fixation_total_time_s,ts_trial_start,ts_recording_start,ts_cue_onset,ts_fixation_end,ts_stim_onset,ts_stim_offset,ts_iti_onset,ts_iti_offset,ts_recording_stop,ts_trial_end,trial_start_time,trial_end_time,trial_duration_s,aborted,user_abort
2026-01-18T09:41:48.184857,P06,A,4,1,A_MB04_T118,image,baseline_rect_01,baseline_rectangle,data/raw/stimuli/polygons/baseline_rectangle.json,A_Random_025,data/raw/stimuli/CAT2000/Random/025.jpg,Random,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,3.4940594998188317,101.20447089988738,104.82947400026023,101.33540840027854,112.24850750016049,107.66746130026877,111.68503169994801,111.68503169994801,112.18705300008878,112.2485104999505,112.18710110010579,101.20447089988738,112.18710110010579,10.98263020021841,False,
2026-01-18T09:42:02.282489,P06,A,4,2,A_MB04_T119,image,allfar_convex_01,allfar_convex,data/raw/stimuli/polygons/allfar_convex.json,A_Satelite_071,data/raw/stimuli/CAT2000/Satelite/071.jpg,Satelite,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,8.344209699891508,112.24943079985678,120.72947790008038,112.38527730014175,126.34649959998205,121.76804060023278,125.78458139998838,125.78458139998838,126.2863910002634,126.34650260023773,126.28642910020426,112.24943079985678,126.28642910020426,14.036998300347477,False,
2026-01-18T09:42:11.347685,P06,A,4,3,A_MB04_T120,image,iso_chc_03,iso_chc,data/raw/stimuli/polygons/iso_chc_03.json,A_Random_019,data/raw/stimuli/CAT2000/Random/019.jpg,Random,nan,1987,grid_13,2880,540,32.63520862273857,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,3.227185200434178,126.34725270001218,129.695475500077,126.46828830009326,135.41149759991094,130.83324659988284,134.85099630011246,134.85099630011246,135.35289940005168,135.41150039993227,135.3529357998632,126.34725270001218,135.3529357998632,9.005683099851012,False,
2026-01-18T09:42:21.399068,P06,A,4,4,A_MB04_T121,image,iso_bbc_03,iso_bbc,data/raw/stimuli/polygons/iso_bbc_03.json,A_Object_073,data/raw/stimuli/CAT2000/Object/073.jpg,Object,nan,1987,grid_21,960,1080,12.049751363346202,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,4.227949199732393,135.4122460000217,139.7624746998772,135.5345219001174,145.46250020014122,140.88363819988444,144.9006240000017,144.9006240000017,145.402603500057,145.46250300016254,145.4026436000131,135.4122460000217,145.4026436000131,9.990397599991411,False,
2026-01-18T09:42:30.264887,P06,A,4,5,A_MB04_T122,image,pair_C3_02,pair_C3_icc_vs_chc_bbc,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_02.json,A_Fractal_093,data/raw/stimuli/CAT2000/Fractal/093.jpg,Fractal,nan,1987,grid_22,1920,1080,23.119020643887126,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.628168100025505,145.4632574999705,148.21247560018674,145.58430980006233,154.32849670015275,149.74944589985535,153.7670203000307,153.7670203000307,154.26897360011935,154.32849960029125,154.2690103999339,145.4632574999705,154.2690103999339,8.805752899963409,False,
2026-01-18T09:42:41.081151,P06,A,4,6,A_MB04_T123,image,allfar_intermediate_01,allfar_intermediate,data/raw/stimuli/polygons/allfar_intermediate.json,A_Satelite_117,data/raw/stimuli/CAT2000/Satelite/117.jpg,Satelite,nan,1987,grid_23,2880,1080,32.63520862273857,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,4.777857000008225,154.3292919001542,159.22847570013255,154.45062040025368,165.14449870027602,160.56572839990258,164.5833433000371,164.5833433000371,165.08515729987994,165.14450150029734,165.0851886998862,154.3292919001542,165.0851886998862,10.755896799732,False,
2026-01-18T09:42:48.630514,P06,A,4,7,A_MB04_T124,image,pair_C2_01,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_01.json,A_Object_033,data/raw/stimuli/CAT2000/Object/033.jpg,Object,nan,1987,grid_31,960,1620,12.049751363346202,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.6534918998368084,165.145252100192,166.92047420004383,165.2669787001796,172.69450009986758,168.1159842000343,172.13307250011712,172.13307250011712,172.63499400019646,172.69450320024043,172.63502890011296,165.145252100192,172.63502890011296,7.489776799920946,False,
2026-01-18T09:42:54.447210,P06,A,4,8,A_MB04_T125,empty,baseline_sym_01,baseline_symmetric,data/raw/stimuli/polygons/baseline_symmetric_consolidated.json,nan,nan,nan,nan,1987,grid_32,1920,1620,23.119020643887126,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.0938766999170184,172.69525049999356,173.9104746999219,172.81659709988162,178.51049600029364,173.93307180004194,177.94953519990668,177.94953519990668,178.45125039992854,178.5104987001978,178.45128590008244,172.69525049999356,178.45128590008244,5.7560354000888765,False,
2026-01-18T09:43:02.497305,P06,A,4,9,A_MB04_T126,image,iso_chc_02,iso_chc,data/raw/stimuli/polygons/iso_chc_02.json,A_Fractal_061,data/raw/stimuli/CAT2000/Fractal/061.jpg,Fractal,nan,1987,grid_33,2880,1620,32.63520862273857,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.1156302001327276,178.51119760004804,180.7484778999351,178.6328577999957,186.5614959001541,181.98189220018685,185.99927210016176,185.99927210016176,186.50101110013202,186.56149870017543,186.50104540027678,178.51119760004804,186.50104540027678,7.989847800228745,False,
2026-01-18T09:43:10.231661,P06,A,4,10,A_MB04_T127,image,iso_icc_02,iso_icc,data/raw/stimuli/polygons/iso_icc_02.json,A_Object_047,data/raw/stimuli/CAT2000/Object/047.jpg,Object,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.011584300082177,186.56224390026182,188.69447410013527,186.682887500152,194.29549620021135,189.71506529999897,193.73240770027041,193.73240770027041,194.23436840018257,194.2954989001155,194.234403999988,186.56224390026182,194.234403999988,7.67216009972617,False,
2026-01-18T09:43:17.697992,P06,A,4,11,A_MB04_T128,image,pair_C3_01,pair_C3_icc_vs_chc_bbc,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_01.json,A_OutdoorNatural_109,data/raw/stimuli/CAT2000/OutdoorNatural/109.jpg,OutdoorNatural,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.6948653003200889,194.29625600017607,196.12747700000182,194.4326205002144,201.76149770012125,197.18154420005158,201.19880700018257,201.19880700018257,201.70062870020047,201.76150050014257,201.70066109998152,194.29625600017607,201.70066109998152,7.4044050998054445,False,
