aperture_scale_factor,bias_level,category,cue_pos_id,cue_x_px,cue_y_px,drift_retry_limit,image_id,image_path,iti_s,max_drift_time_s,mini_block,part,polygon_case,polygon_id,polygon_json_path,stimulus_duration_s,trial_in_block,trial_type,trial_uid
1987,,Object,grid_11,960,540,1,B_Object_099,data/raw/stimuli/CAT2000/Object/099.jpg,0.5,10.0,1,B,iso_com,iso_com_01,data/raw/stimuli/polygons/iso_com_01.json,4.0,1,image,B_MB01_T001
1987,,Object,grid_12,1920,540,1,B_Object_023,data/raw/stimuli/CAT2000/Object/023.jpg,0.5,10.0,1,B,iso_chc,iso_chc_01,data/raw/stimuli/polygons/iso_chc_01.json,4.0,2,image,B_MB01_T002
1987,,Object,grid_13,2880,540,1,B_Object_109,data/raw/stimuli/CAT2000/Object/109.jpg,0.5,10.0,1,B,iso_bbc,iso_bbc_02,data/raw/stimuli/polygons/iso_bbc_02.json,4.0,3,image,B_MB01_T003
1987,,,grid_21,960,1080,1,,,0.5,10.0,1,B,iso_chc,iso_chc_01,data/raw/stimuli/polygons/iso_chc_01.json,4.0,4,empty,B_MB01_T004
1987,,,grid_22,1920,1080,1,,,0.5,10.0,1,B,pair_C3_icc_vs_chc_bbc,pair_C3_03,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_03.json,4.0,5,empty,B_MB01_T005
1987,,OutdoorNatural,grid_23,2880,1080,1,B_OutdoorNatural_111,data/raw/stimuli/CAT2000/OutdoorNatural/111.jpg,0.5,10.0,1,B,allfar_convex,allfar_convex_01,data/raw/stimuli/polygons/allfar_convex.json,4.0,6,image,B_MB01_T006
1987,,OutdoorNatural,grid_31,960,1620,1,B_OutdoorNatural_179,data/raw/stimuli/CAT2000/OutdoorNatural/179.jpg,0.5,10.0,1,B,pair_C3_icc_vs_chc_bbc,pair_C3_03,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_03.json,4.0,7,image,B_MB01_T007
1987,,OutdoorNatural,grid_32,1920,1620,1,B_OutdoorNatural_141,data/raw/stimuli/CAT2000/OutdoorNatural/141.jpg,0.5,10.0,1,B,iso_icc,iso_icc_03,data/raw/stimuli/polygons/iso_icc_03.json,4.0,8,image,B_MB01_T008
1987,,Sketch,grid_33,2880,1620,1,B_Sketch_085,data/raw/stimuli/CAT2000/Sketch/085.jpg,0.5,10.0,1,B,baseline_rectangle,baseline_rect_01,data/raw/stimuli/polygons/baseline_rectangle.json,4.0,9,image,B_MB01_T009
1987,,Object,grid_11,960,540,1,B_Object_013,data/raw/stimuli/CAT2000/Object/013.jpg,0.5,10.0,1,B,iso_chc,iso_chc_01,data/raw/stimuli/polygons/iso_chc_01.json,4.0,10,image,B_MB01_T010
1987,,OutdoorNatural,grid_12,1920,540,1,B_OutdoorNatural_187,data/raw/stimuli/CAT2000/OutdoorNatural/187.jpg,0.5,10.0,1,B,iso_bbc,iso_bbc_02,data/raw/stimuli/polygons/iso_bbc_02.json,4.0,11,image,B_MB01_T011
1987,,Object,grid_13,2880,540,1,B_Object_131,data/raw/stimuli/CAT2000/Object/131.jpg,0.5,10.0,1,B,iso_chc,iso_chc_02,data/raw/stimuli/polygons/iso_chc_02.json,4.0,12,image,B_MB01_T012
1987,,Sketch,grid_21,960,1080,1,B_Sketch_129,data/raw/stimuli/CAT2000/Sketch/129.jpg,0.5,10.0,1,B,pair_C1_bbc_vs_chc_icc,pair_C1_03,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_03.json,4.0,13,image,B_MB01_T013
1987,,Sketch,grid_22,1920,1080,1,B_Sketch_139,data/raw/stimuli/CAT2000/Sketch/139.jpg,0.5,10.0,1,B,iso_com,iso_com_02,data/raw/stimuli/polygons/iso_com_02.json,4.0,14,image,B_MB01_T014
1987,,Fractal,grid_23,2880,1080,1,B_Fractal_139,data/raw/stimuli/CAT2000/Fractal/139.jpg,0.5,10.0,1,B,iso_icc,iso_icc_03,data/raw/stimuli/polygons/iso_icc_03.json,4.0,15,image,B_MB01_T015
1987,,Object,grid_31,960,1620,1,B_Object_063,data/raw/stimuli/CAT2000/Object/063.jpg,0.5,10.0,1,B,iso_icc,iso_icc_02,data/raw/stimuli/polygons/iso_icc_02.json,4.0,16,image,B_MB01_T016
1987,,Satelite,grid_32,1920,1620,1,B_Satelite_141,data/raw/stimuli/CAT2000/Satelite/141.jpg,0.5,10.0,1,B,pair_C2_chc_vs_bbc_icc,pair_C2_02,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_02.json,4.0,17,image,B_MB01_T017
1987,,OutdoorNatural,grid_33,2880,1620,1,B_OutdoorNatural_151,data/raw/stimuli/CAT2000/OutdoorNatural/151.jpg,0.5,10.0,1,B,pair_C1_bbc_vs_chc_icc,pair_C1_01,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_01.json,4.0,18,image,B_MB01_T018
1987,,OutdoorNatural,grid_11,960,540,1,B_OutdoorNatural_093,data/raw/stimuli/CAT2000/OutdoorNatural/093.jpg,0.5,10.0,1,B,allfar_concave,allfar_concave_01,data/raw/stimuli/polygons/allfar_concave.json,4.0,19,image,B_MB01_T019
1987,,Random,grid_12,1920,540,1,B_Random_067,data/raw/stimuli/CAT2000/Random/067.jpg,0.5,10.0,1,B,iso_com,iso_com_03,data/raw/stimuli/polygons/iso_com_03.json,4.0,20,image,B_MB01_T020
1987,,Object,grid_13,2880,540,1,B_Object_015,data/raw/stimuli/CAT2000/Object/015.jpg,0.5,10.0,1,B,allfar_convex,allfar_convex_01,data/raw/stimuli/polygons/allfar_convex.json,4.0,21,image,B_MB01_T021
1987,,,grid_21,960,1080,1,,,0.5,10.0,1,B,pair_C2_chc_vs_bbc_icc,pair_C2_03,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_03.json,4.0,22,empty,B_MB01_T022
1987,,Satelite,grid_22,1920,1080,1,B_Satelite_199,data/raw/stimuli/CAT2000/Satelite/199.jpg,0.5,10.0,1,B,iso_icc,iso_icc_02,data/raw/stimuli/polygons/iso_icc_02.json,4.0,23,image,B_MB01_T023
1987,,Fractal,grid_23,2880,1080,1,B_Fractal_179,data/raw/stimuli/CAT2000/Fractal/179.jpg,0.5,10.0,1,B,iso_chc,iso_chc_02,data/raw/stimuli/polygons/iso_chc_02.json,4.0,24,image,B_MB01_T024
