trial_uid,cue_fix_dist,n_cue_fix,n_stim_fix,closest_center,closest_dist
A_MB01_T001,802.6020184375317,1,7,SCREEN,188.875620449014
A_MB01_T002,93.5200513259055,3,8,SCREEN,102.70345661174214
A_MB01_T003,57.42821606144492,4,11,SCREEN,374.3861642742691
A_MB01_T004,109.16501271011697,5,10,CHC,167.77456910842244
A_MB01_T005,145.98972566588375,3,13,SCREEN,468.3855249684815
A_MB01_T006,1008.025793320786,2,17,SCREEN,179.53551180755298
A_MB01_T007,29.966648127543394,3,11,SCREEN,142.01408380861386
A_MB01_T008,94.847245611035,2,12,CHC,187.46902036210113
A_MB01_T009,37.53664875824692,3,10,ICC,352.9697157949176
A_MB01_T010,72.12489168102785,2,11,COM,516.2714910270452
A_MB01_T011,267.3275144836386,2,9,CHC,554.5293173260986
A_MB01_T012,127.20062892926276,7,12,SCREEN,276.3059898011623
A_MB01_T013,71.58910531638176,3,6,CHC,66.36345314523368
A_MB01_T014,130.91982279242512,1,8,COM,378.9623321481799
A_MB01_T015,951.5723829536038,1,14,SCREEN,288.41983288255335
A_MB01_T016,35.510561809129406,3,7,CHC,211.3441099509418
A_MB01_T017,83.67795408588812,2,6,SCREEN,123.1665539016173
A_MB01_T018,13.892443989449804,4,8,SCREEN,99.72462083156798
A_MB01_T019,75.28612089887484,3,15,SCREEN,45.5411901469428
A_MB01_T020,195.4328529188478,6,15,SCREEN,200.08498194517247
A_MB01_T021,64.76109943476871,4,10,SCREEN,245.60130292814003
A_MB01_T022,186.06719216455113,2,9,CHC,224.00472640420216
A_MB01_T023,,0,6,CHC,268.88194154276033
A_MB01_T024,73.348483283569,2,9,SCREEN,431.5425819082052
A_MB01_T025,44.10215414239989,4,8,CHC,480.5346671637253
A_MB01_T026,134.2013412749664,2,14,SCREEN,275.53039759707093
A_MB01_T027,103.31505214633539,2,10,SCREEN,206.3225629929989
A_MB01_T028,73.49829930005184,3,7,SCREEN,499.76894661433295
A_MB01_T029,105.3612832116238,8,8,ICC,627.3221125001644
A_MB01_T030,39.45883931389772,2,14,COM,125.03231568568215
A_MB01_T031,135.05924625881784,6,11,COM,852.6391730037384
A_MB01_T032,150.81445554057476,1,4,SCREEN,263.31919793285107
A_MB01_T033,109.11003620199197,3,14,SCREEN,456.92121859243963
A_MB01_T034,29.017236257093817,4,7,SCREEN,406.1095911204265
